limit_bal,gender,education,marriage,age,pay_0,bill_amt1,avg_bill,pay_amt1,payment,leak_prediction
50000.0,2.0,3,2.0,49.0,0.0,48909.0,29583.166666666668,1676.0,0.0,0.0
160000.0,1.0,2,2.0,33.0,0.0,130028.0,111168.83333333333,4400.0,0.0,0.0
360000.0,2.0,1,1.0,45.0,-1.0,390.0,585.0,1170.0,1.0,0.0
160000.0,2.0,2,2.0,32.0,0.0,3826.0,5270.5,1147.0,0.0,0.0
130000.0,2.0,1,1.0,35.0,0.0,81313.0,37755.666666666664,40000.0,0.0,0.0
20000.0,1.0,3,2.0,44.0,2.0,8583.0,10218.166666666666,0.0,0.0,1.0
200000.0,1.0,1,1.0,53.0,2.0,138180.0,143694.5,6300.0,1.0,1.0
280000.0,2.0,1,2.0,39.0,-1.0,7524.0,2560.0,0.0,0.0,0.0
100000.0,2.0,1,2.0,27.0,-2.0,-2000.0,592.5,7555.0,0.0,0.0
160000.0,2.0,2,1.0,37.0,-1.0,880.0,693.6666666666666,1602.0,0.0,0.0
60000.0,2.0,2,2.0,23.0,0.0,45648.0,32973.166666666664,1937.0,0.0,0.0
90000.0,1.0,2,2.0,35.0,0.0,83725.0,59119.333333333336,3621.0,0.0,0.0
360000.0,1.0,1,1.0,43.0,-1.0,3967.0,9743.333333333334,8339.0,0.0,0.0
150000.0,1.0,1,2.0,27.0,0.0,86009.0,79901.83333333333,4031.0,0.0,0.0
50000.0,2.0,3,1.0,22.0,0.0,18722.0,13965.666666666666,1411.0,0.0,0.0
20000.0,1.0,2,1.0,38.0,0.0,17973.0,15536.166666666666,1699.0,1.0,1.0
140000.0,1.0,1,2.0,32.0,-2.0,672.0,2279.8333333333335,10212.0,0.0,0.0
380000.0,2.0,1,2.0,30.0,-2.0,-81.0,22100.333333333332,223.0,0.0,0.0
480000.0,1.0,1,1.0,63.0,0.0,422069.0,460169.1666666667,16078.0,0.0,0.0
50000.0,2.0,3,2.0,22.0,0.0,44698.0,34227.666666666664,1767.0,1.0,0.0
60000.0,2.0,2,2.0,26.0,2.0,56685.0,57006.333333333336,0.0,0.0,1.0
70000.0,2.0,2,2.0,24.0,-1.0,5580.0,5351.5,0.0,0.0,0.0
80000.0,2.0,2,1.0,36.0,-1.0,6108.0,2977.5,2861.0,0.0,0.0
350000.0,1.0,1,2.0,52.0,-1.0,713.0,1831.1666666666667,2272.0,0.0,0.0
130000.0,1.0,2,2.0,38.0,0.0,171438.0,113489.66666666667,10908.0,0.0,0.0
360000.0,1.0,2,1.0,35.0,1.0,-103.0,-103.0,0.0,0.0,1.0
330000.0,2.0,1,1.0,31.0,0.0,105879.0,106596.66666666667,9260.0,0.0,0.0
50000.0,1.0,3,1.0,47.0,0.0,13244.0,15523.166666666666,2000.0,0.0,1.0
280000.0,1.0,2,1.0,41.0,2.0,135673.0,142501.33333333334,6500.0,0.0,1.0
100000.0,2.0,1,2.0,24.0,0.0,52128.0,55864.333333333336,2000.0,0.0,0.0
50000.0,1.0,2,2.0,41.0,0.0,19015.0,19851.666666666668,1340.0,0.0,1.0
30000.0,1.0,1,2.0,24.0,-1.0,18199.0,19610.0,0.0,1.0,0.0
240000.0,1.0,1,2.0,28.0,-1.0,326.0,1242.6666666666667,326.0,0.0,0.0
80000.0,1.0,2,2.0,26.0,2.0,14029.0,16503.666666666668,2000.0,1.0,1.0
400000.0,1.0,2,1.0,34.0,-1.0,19660.0,11971.333333333334,9677.0,0.0,0.0
240000.0,2.0,2,2.0,38.0,0.0,50254.0,34950.5,2000.0,0.0,0.0
50000.0,1.0,3,2.0,37.0,2.0,46004.0,48374.166666666664,1000.0,1.0,1.0
450000.0,1.0,1,1.0,40.0,1.0,0.0,0.0,0.0,1.0,1.0
110000.0,2.0,1,1.0,48.0,1.0,0.0,0.0,0.0,0.0,1.0
310000.0,2.0,2,1.0,35.0,2.0,304991.0,271089.6666666667,13019.0,1.0,1.0
20000.0,1.0,1,2.0,27.0,0.0,19115.0,18683.333333333332,1404.0,0.0,1.0
20000.0,1.0,2,2.0,23.0,1.0,0.0,0.0,0.0,0.0,1.0
200000.0,1.0,3,2.0,52.0,0.0,110151.0,102947.5,3568.0,0.0,0.0
180000.0,1.0,1,1.0,36.0,0.0,163736.0,111480.33333333333,4655.0,1.0,0.0
50000.0,1.0,2,1.0,51.0,0.0,3347.0,5091.333333333333,1000.0,1.0,1.0
60000.0,1.0,3,1.0,55.0,3.0,60521.0,44020.833333333336,2504.0,0.0,1.0
30000.0,2.0,1,2.0,23.0,1.0,4000.0,5462.666666666667,5645.0,0.0,1.0
240000.0,1.0,1,2.0,41.0,1.0,95.0,1879.8333333333333,2622.0,0.0,1.0
420000.0,1.0,2,1.0,34.0,0.0,253454.0,224985.16666666666,9744.0,0.0,0.0
330000.0,1.0,3,1.0,46.0,0.0,227389.0,228219.5,8210.0,0.0,0.0
30000.0,2.0,2,2.0,22.0,0.0,28452.0,20580.333333333332,2000.0,0.0,0.0
240000.0,1.0,2,1.0,34.0,0.0,10674.0,12951.333333333334,1500.0,0.0,0.0
150000.0,1.0,1,2.0,27.0,0.0,17444.0,23471.5,2500.0,0.0,0.0
210000.0,2.0,2,1.0,33.0,0.0,7166.0,7209.333333333333,1500.0,0.0,0.0
50000.0,2.0,3,1.0,51.0,-1.0,752.0,1155.3333333333333,300.0,1.0,0.0
50000.0,1.0,1,2.0,24.0,0.0,50801.0,34721.666666666664,2360.0,0.0,1.0
240000.0,1.0,1,2.0,47.0,1.0,0.0,0.0,0.0,1.0,1.0
180000.0,1.0,2,2.0,28.0,-1.0,1832.0,638.0,0.0,0.0,0.0
50000.0,1.0,2,2.0,23.0,1.0,10131.0,16581.166666666668,1000.0,0.0,1.0
170000.0,1.0,2,2.0,29.0,-2.0,12159.0,11331.333333333334,10000.0,0.0,0.0
20000.0,1.0,1,2.0,29.0,-1.0,1199.0,4418.333333333333,15586.0,0.0,0.0
50000.0,1.0,1,2.0,28.0,0.0,4999.0,8030.666666666667,1000.0,0.0,1.0
170000.0,2.0,2,2.0,27.0,0.0,19269.0,17502.0,1661.0,1.0,0.0
200000.0,1.0,1,2.0,34.0,1.0,197236.0,132378.83333333334,8000.0,0.0,1.0
80000.0,2.0,2,1.0,23.0,1.0,9168.0,10325.0,1650.0,0.0,1.0
260000.0,2.0,1,1.0,60.0,1.0,-1100.0,3506.3333333333335,0.0,0.0,1.0
140000.0,1.0,2,1.0,32.0,0.0,86627.0,68553.83333333333,3455.0,0.0,0.0
80000.0,1.0,1,2.0,25.0,0.0,42444.0,42754.666666666664,30000.0,0.0,0.0
350000.0,1.0,1,2.0,41.0,1.0,208.0,790.6666666666666,2906.0,0.0,1.0
280000.0,2.0,2,1.0,56.0,0.0,208775.0,161936.83333333334,8042.0,0.0,0.0
30000.0,2.0,3,2.0,26.0,0.0,9014.0,11678.666666666666,1700.0,0.0,0.0
140000.0,1.0,1,1.0,34.0,0.0,23944.0,37163.333333333336,5000.0,0.0,1.0
200000.0,2.0,1,2.0,37.0,0.0,105420.0,95901.16666666667,4000.0,0.0,0.0
200000.0,2.0,3,2.0,30.0,0.0,196031.0,169693.33333333334,7300.0,0.0,0.0
210000.0,1.0,3,1.0,45.0,2.0,115785.0,134241.83333333334,10478.0,1.0,1.0
50000.0,1.0,3,1.0,57.0,3.0,12854.0,13314.0,0.0,0.0,1.0
30000.0,1.0,1,2.0,41.0,2.0,24357.0,27099.333333333332,3500.0,0.0,1.0
50000.0,1.0,2,2.0,27.0,2.0,390.0,566.0,390.0,0.0,1.0
290000.0,1.0,3,1.0,47.0,-1.0,1234.0,606.1666666666666,396.0,0.0,0.0
250000.0,2.0,1,1.0,34.0,0.0,141223.0,153157.0,17994.0,0.0,0.0
60000.0,2.0,2,1.0,46.0,0.0,21148.0,25050.666666666668,3000.0,0.0,1.0
110000.0,2.0,1,2.0,27.0,0.0,101640.0,89889.83333333333,5500.0,0.0,0.0
370000.0,1.0,1,2.0,50.0,-2.0,6093.0,10511.666666666666,15383.0,0.0,0.0
100000.0,1.0,2,1.0,27.0,-1.0,102349.0,51681.5,3166.0,0.0,0.0
90000.0,2.0,2,1.0,35.0,0.0,72112.0,78825.16666666667,3500.0,0.0,0.0
50000.0,2.0,2,2.0,22.0,0.0,28040.0,28559.833333333332,1510.0,0.0,0.0
270000.0,1.0,2,2.0,37.0,0.0,37695.0,30034.833333333332,5000.0,0.0,0.0
300000.0,2.0,1,2.0,30.0,-1.0,688.0,1963.3333333333333,3288.0,0.0,0.0
50000.0,2.0,2,2.0,22.0,-1.0,8567.0,8964.5,15000.0,0.0,0.0
50000.0,2.0,1,2.0,24.0,1.0,-709.0,-1928.1666666666667,0.0,1.0,1.0
360000.0,1.0,1,2.0,29.0,1.0,0.0,12.833333333333334,0.0,0.0,1.0
130000.0,1.0,3,1.0,56.0,1.0,64617.0,68429.16666666667,3000.0,1.0,1.0
80000.0,1.0,1,2.0,30.0,-2.0,6187.0,2604.0,504.0,0.0,0.0
50000.0,1.0,2,2.0,30.0,1.0,48860.0,36747.166666666664,0.0,0.0,1.0
20000.0,2.0,2,2.0,22.0,0.0,16001.0,13985.666666666666,1212.0,0.0,0.0
80000.0,2.0,2,1.0,29.0,0.0,77883.0,53926.5,5800.0,0.0,0.0
240000.0,1.0,1,2.0,37.0,-1.0,12212.0,19710.166666666668,15000.0,0.0,0.0
80000.0,2.0,3,2.0,35.0,0.0,49608.0,21581.166666666668,12500.0,0.0,0.0
500000.0,2.0,1,1.0,47.0,0.0,56422.0,96540.5,70010.0,0.0,0.0
60000.0,2.0,2,1.0,24.0,0.0,58024.0,37073.833333333336,2500.0,1.0,0.0
20000.0,1.0,2,2.0,25.0,0.0,10642.0,8484.0,1200.0,0.0,1.0
100000.0,2.0,2,1.0,38.0,1.0,14483.0,15391.833333333334,0.0,1.0,1.0
360000.0,2.0,1,2.0,32.0,1.0,2616.0,27257.666666666668,57087.0,0.0,0.0
200000.0,2.0,3,2.0,47.0,2.0,199436.0,197097.0,8214.0,1.0,1.0
130000.0,2.0,2,1.0,34.0,1.0,0.0,9623.666666666666,5396.0,0.0,1.0
20000.0,2.0,2,2.0,31.0,1.0,21703.0,20965.333333333332,0.0,0.0,1.0
310000.0,1.0,1,2.0,32.0,0.0,59901.0,58956.666666666664,10020.0,0.0,0.0
60000.0,2.0,1,2.0,27.0,2.0,19625.0,21669.666666666668,1342.0,1.0,1.0
180000.0,2.0,1,2.0,29.0,-1.0,11386.0,7642.333333333333,199.0,0.0,0.0
180000.0,2.0,1,2.0,24.0,-1.0,14670.0,11373.166666666666,37867.0,0.0,0.0
50000.0,1.0,2,1.0,36.0,0.0,47790.0,14145.0,2000.0,0.0,1.0
50000.0,2.0,1,2.0,24.0,1.0,36166.0,38126.5,1900.0,1.0,1.0
150000.0,2.0,2,1.0,34.0,-2.0,0.0,269.3333333333333,0.0,0.0,0.0
20000.0,2.0,1,2.0,22.0,0.0,18553.0,17251.833333333332,1500.0,0.0,0.0
500000.0,2.0,1,1.0,34.0,-2.0,412.0,1076.1666666666667,138.0,0.0,0.0
30000.0,2.0,3,2.0,22.0,1.0,29010.0,19642.333333333332,1000.0,1.0,1.0
180000.0,2.0,1,1.0,38.0,-2.0,750.0,125.0,0.0,0.0,0.0
140000.0,1.0,1,2.0,31.0,0.0,27123.0,21812.0,25000.0,0.0,0.0
140000.0,2.0,1,2.0,26.0,-1.0,13424.0,10706.0,10000.0,0.0,0.0
120000.0,1.0,2,2.0,26.0,0.0,107314.0,114815.66666666667,5000.0,0.0,0.0
360000.0,2.0,2,1.0,48.0,0.0,226430.0,200463.16666666666,9100.0,0.0,0.0
20000.0,1.0,3,1.0,43.0,-1.0,227.0,16490.166666666668,22359.0,0.0,0.0
100000.0,1.0,1,1.0,47.0,-1.0,390.0,505.5,1473.0,0.0,0.0
210000.0,2.0,2,1.0,41.0,-1.0,3088.0,1609.5,1586.0,1.0,0.0
80000.0,2.0,2,2.0,24.0,0.0,81625.0,65234.5,3200.0,1.0,0.0
330000.0,2.0,1,1.0,50.0,-1.0,8872.0,3243.6666666666665,4345.0,0.0,0.0
220000.0,1.0,1,2.0,24.0,0.0,105607.0,69996.5,5000.0,0.0,0.0
210000.0,2.0,1,1.0,38.0,1.0,0.0,397.3333333333333,0.0,1.0,1.0
40000.0,2.0,3,1.0,43.0,0.0,38257.0,35990.833333333336,1700.0,0.0,1.0
30000.0,1.0,2,2.0,39.0,0.0,28347.0,17267.166666666668,3036.0,0.0,1.0
470000.0,1.0,2,2.0,27.0,2.0,296573.0,333803.0,13000.0,0.0,1.0
30000.0,1.0,3,1.0,42.0,-1.0,390.0,585.0,390.0,0.0,0.0
240000.0,2.0,2,1.0,36.0,1.0,-946.0,-946.0,0.0,1.0,1.0
80000.0,1.0,2,2.0,36.0,2.0,79278.0,78468.16666666667,3100.0,0.0,1.0
110000.0,2.0,3,0.0,31.0,0.0,89989.0,75641.16666666667,4000.0,0.0,0.0
310000.0,2.0,1,2.0,38.0,-1.0,1424.0,1015.3333333333334,4542.0,0.0,0.0
360000.0,2.0,1,1.0,40.0,2.0,105167.0,114260.83333333333,12000.0,1.0,1.0
330000.0,2.0,3,2.0,45.0,0.0,335196.0,334236.3333333333,12388.0,0.0,0.0
300000.0,2.0,2,2.0,35.0,0.0,291619.0,238552.5,12019.0,0.0,0.0
320000.0,2.0,2,2.0,33.0,0.0,91653.0,72878.0,10042.0,0.0,0.0
50000.0,2.0,3,2.0,37.0,1.0,52626.0,40661.333333333336,0.0,1.0,1.0
170000.0,2.0,1,2.0,28.0,0.0,130370.0,128683.66666666667,6530.0,0.0,0.0
350000.0,1.0,3,1.0,44.0,-1.0,3265.0,1397.3333333333333,2686.0,0.0,0.0
20000.0,1.0,2,1.0,37.0,0.0,16455.0,18076.833333333332,1609.0,0.0,1.0
50000.0,1.0,2,2.0,23.0,2.0,49758.0,33750.166666666664,2401.0,1.0,1.0
20000.0,2.0,3,2.0,24.0,1.0,19154.0,10652.0,0.0,0.0,1.0
50000.0,2.0,1,2.0,24.0,0.0,35084.0,22155.0,2090.0,0.0,0.0
20000.0,1.0,2,2.0,23.0,1.0,20235.0,15776.0,0.0,1.0,1.0
50000.0,1.0,2,1.0,26.0,0.0,102800.0,32924.666666666664,0.0,0.0,0.0
190000.0,1.0,2,2.0,34.0,2.0,129801.0,138009.66666666666,5000.0,1.0,1.0
60000.0,2.0,2,1.0,33.0,0.0,58203.0,29299.0,1506.0,0.0,0.0
80000.0,1.0,1,2.0,35.0,-1.0,7988.0,6975.333333333333,3983.0,0.0,0.0
150000.0,2.0,2,2.0,27.0,0.0,127402.0,66630.0,4500.0,0.0,0.0
210000.0,2.0,1,2.0,31.0,-2.0,1440.0,3021.6666666666665,0.0,0.0,0.0
240000.0,2.0,3,1.0,50.0,0.0,234205.0,218871.16666666666,10116.0,1.0,0.0
140000.0,2.0,2,3.0,41.0,0.0,19346.0,19309.0,3000.0,1.0,0.0
60000.0,2.0,1,2.0,28.0,1.0,21501.0,7406.0,0.0,0.0,1.0
50000.0,1.0,1,2.0,39.0,0.0,47174.0,40207.333333333336,1800.0,0.0,1.0
50000.0,2.0,2,2.0,27.0,0.0,26655.0,28205.666666666668,1800.0,0.0,0.0
180000.0,2.0,1,2.0,32.0,-1.0,3139.0,2439.0,2821.0,0.0,0.0
30000.0,2.0,1,2.0,40.0,-1.0,142.0,102.16666666666667,355.0,0.0,0.0
20000.0,2.0,2,2.0,40.0,0.0,19816.0,13314.833333333334,1601.0,0.0,1.0
250000.0,2.0,2,1.0,75.0,0.0,52874.0,10569.5,1631.0,0.0,1.0
100000.0,2.0,2,2.0,27.0,0.0,37767.0,32749.666666666668,1788.0,0.0,0.0
330000.0,1.0,1,2.0,25.0,0.0,46140.0,42667.5,2504.0,0.0,0.0
50000.0,1.0,3,1.0,46.0,0.0,35713.0,19645.166666666668,1561.0,0.0,1.0
50000.0,2.0,2,2.0,26.0,1.0,50867.0,40143.666666666664,1710.0,0.0,1.0
30000.0,1.0,2,2.0,28.0,0.0,29242.0,22526.666666666668,5006.0,0.0,1.0
140000.0,2.0,2,2.0,26.0,0.0,101551.0,105239.83333333333,5366.0,1.0,0.0
160000.0,2.0,1,2.0,28.0,0.0,70243.0,56231.833333333336,7042.0,0.0,0.0
400000.0,2.0,2,2.0,29.0,-1.0,19532.0,5671.666666666667,3127.0,0.0,0.0
50000.0,1.0,2,1.0,25.0,0.0,27699.0,28925.333333333332,1565.0,0.0,1.0
140000.0,2.0,2,1.0,48.0,0.0,1154.0,4515.833333333333,1233.0,0.0,1.0
160000.0,2.0,2,1.0,33.0,-1.0,8015.0,13701.166666666666,2453.0,0.0,0.0
100000.0,2.0,3,1.0,43.0,0.0,62170.0,10361.666666666666,0.0,0.0,0.0
220000.0,1.0,1,1.0,48.0,2.0,210380.0,188240.0,10000.0,1.0,1.0
510000.0,2.0,1,2.0,29.0,0.0,78331.0,85535.16666666667,40010.0,0.0,0.0
50000.0,1.0,2,2.0,29.0,0.0,49276.0,33700.166666666664,1602.0,0.0,0.0
160000.0,2.0,1,1.0,38.0,-1.0,4473.0,10546.166666666666,4664.0,0.0,0.0
230000.0,2.0,1,2.0,37.0,-2.0,2283.0,8955.833333333334,51315.0,0.0,0.0
80000.0,2.0,1,2.0,37.0,-1.0,10115.0,5842.333333333333,258.0,0.0,0.0
150000.0,2.0,2,1.0,25.0,-1.0,6156.0,1184.0,0.0,0.0,0.0
10000.0,1.0,3,2.0,23.0,0.0,6974.0,8689.333333333334,1134.0,0.0,1.0
130000.0,2.0,3,2.0,49.0,0.0,89003.0,59630.166666666664,4100.0,1.0,0.0
40000.0,2.0,1,2.0,48.0,0.0,34871.0,34662.5,1600.0,0.0,1.0
50000.0,1.0,2,2.0,27.0,3.0,13694.0,12286.166666666666,1700.0,1.0,1.0
100000.0,1.0,3,2.0,32.0,0.0,70003.0,30034.833333333332,2035.0,0.0,0.0
120000.0,1.0,1,1.0,34.0,-1.0,1082.0,735.6666666666666,0.0,0.0,0.0
260000.0,2.0,1,2.0,58.0,1.0,0.0,0.0,0.0,1.0,1.0
200000.0,2.0,2,2.0,33.0,0.0,11253.0,13478.5,2000.0,0.0,0.0
360000.0,2.0,2,2.0,28.0,-2.0,0.0,0.0,0.0,1.0,0.0
70000.0,2.0,2,2.0,36.0,0.0,68699.0,44292.166666666664,4483.0,0.0,0.0
460000.0,1.0,1,1.0,40.0,2.0,171.0,4673.166666666667,2728.0,1.0,1.0
50000.0,2.0,1,2.0,26.0,-1.0,1156.0,456.0,316.0,0.0,0.0
50000.0,1.0,3,1.0,33.0,0.0,50859.0,35298.5,2007.0,0.0,1.0
250000.0,2.0,2,1.0,31.0,0.0,103109.0,100668.5,4000.0,0.0,0.0
30000.0,2.0,1,2.0,27.0,0.0,1512.0,1074.6666666666667,1000.0,0.0,1.0
270000.0,1.0,2,1.0,44.0,0.0,127543.0,81099.0,10063.0,0.0,0.0
180000.0,2.0,3,2.0,30.0,0.0,163935.0,126701.83333333333,7722.0,0.0,0.0
100000.0,2.0,1,2.0,28.0,0.0,53494.0,53863.666666666664,4173.0,0.0,0.0
230000.0,2.0,3,1.0,32.0,0.0,195126.0,111252.83333333333,5000.0,0.0,0.0
210000.0,2.0,1,1.0,46.0,-1.0,110346.0,35173.166666666664,41986.0,0.0,0.0
210000.0,1.0,1,2.0,38.0,2.0,60502.0,59828.333333333336,3276.0,0.0,1.0
440000.0,2.0,2,1.0,46.0,0.0,180641.0,138029.83333333334,8610.0,0.0,0.0
100000.0,2.0,2,2.0,25.0,2.0,70896.0,67273.0,3472.0,1.0,1.0
240000.0,2.0,2,1.0,46.0,0.0,8751.0,9349.5,1295.0,0.0,0.0
